No,Category,Material Number,Detail Item,UoM,"PENAWARAN
SAAT KONTRAK KE-3"
151,Sanitary,SNT056,"Customize clear trash bag size 60x80, thickes 50 mikron_Yellow",Pack," Rp 15,000 "
152,Sanitary,SNT057,"Customize clear trash bag size 40x50, thickes 50 mikron_Blue",Pack," Rp 36,000 "
153,Sanitary,SNT058,"Customize clear trash bag size 40x50, thickes 50 mikron_Green",Pack," Rp 15,000 "
154,Sanitary,SNT059,"Customize clear trash bag size 40x50, thickes 50 mikron_Grey",Pack," Rp 36,000 "
155,Sanitary,SNT060,"Customize clear trash bag size 40x50, thickes 50 mikron_Yellow",Pack," Rp 15,000 "
156,Sanitary,SNT061,"Customize clear trash bag size 120x130, thickes 50 mikron_Grey",Pack," Rp 36,000 "
157,Sanitary,SNT062,WD-40 333ml,Unit," Rp 75,000 "
177,Stationeries,STR018,Binder Clip No.111 Joyko,Pack," Rp 9,500 "
188,Stationeries,STR029,Bussiness card with lamination finishing,Pack," Rp 40,000 "
189,Stationeries,STR030,"No Spesific brand, nylon white color length 15cm",Pack," Rp 6,800 "
190,Stationeries,STR031,"No Spesific brand, nylon white color length 25cm",Pack," Rp 9,900 "
192,Stationeries,STR033,Clear Sleeves Daiichi 9002 sizeFolio / F4,Pack," Rp 34,500 "
198,Stationeries,STR039,Desk Set - Stationery Stand - Tempat Alat Tulis Joyko DS-0812,Unit," Rp 30,000 "
200,Stationeries,STR041,DVD RW,Pcs,
206,Stationeries,STR047,"3M or equivalent Foam Tape 24mm, length 5M",Roll," Rp 9,300 "
208,Stationeries,STR049,Suspensions File Bantex ukuran Folio,Pcs," Rp 15,000 "
209,Stationeries,STR050,Sidu A3 70 Gram,Ream," Rp 110,000 "
219,Stationeries,STR060,Sidu F4 70 Gram,Ream," Rp 67,000 "
220,Stationeries,STR061,Sidu HVS Paper F4 70gr - Yellow,Ream," Rp 86,000 "
222,Stationeries,STR063,No Spesific brand and type,Pcs," Rp 7,000 "
223,Stationeries,STR064,No Spesific brand and type,Pcs," Rp 13,000 "
231,Stationeries,STR072,No Spesific brand and type,Pack," Rp 3,300 "
232,Stationeries,STR073,No Spesific brand and type,Pack," Rp 3,400 "
243,Stationeries,STR084,Permanent Paint Marker Snowman CP-12 Black,pcs," Rp 17,500 "
244,Stationeries,STR085,Bantex Ordner PVC A3 lanscape_1468,Pcs," Rp 59,800 "
245,Stationeries,STR086,Bantex Ordner PVC A4_1450V,Pcs," Rp 41,000 "
246,Stationeries,STR087,Bantex Ordner Trendy A5_1445,Pcs," Rp 42,000 "
247,Stationeries,STR088,Bantex Ordner Trendy F4_1446,Pcs," Rp 38,500 "
249,Stationeries,STR090,Trigonal Clips Kenko No. 5,Pack," Rp 7,200 "
250,Stationeries,STR091,NCR Paper size A6,ream,
252,Stationeries,STR093,Eraser dust free faber-castel,Pcs," Rp 4,300 "
258,Stationeries,STR099,e-Print Glossy Photo Paper A4 210 gsm,Pack," Rp 26,000 "
260,Stationeries,STR101,Post it 76x51 mm big 5 warna tumpuk (rainbow)/ptr700028368,Pack," Rp 7,000 "
261,Stationeries,STR102,Post it 76x76 mm big 5 warna tumpuk (rainbow) #700028221,Pack," Rp 8,500 "
269,Stationeries,STR110,Pentel MG8 black,Pcs," Rp 50,000 "
271,Stationeries,STR112,Stabilo Boss / Highlighter Boss,Pcs," Rp 12,500 "
276,Stationeries,STR117,Staples Refill No.10,Pack," Rp 2,900 "
294,Stationeries,STR135,Lakban Kertas /Masking Tape Daimaru 48mm x 21m PUTIH,Roll," Rp 19,200 "
