No,Category,Material Number,Detail Item,UoM,Harga Kontrak 1,Harga Kontrak 2,Harga Kontrak 3,PENAWARAN SAAT KONTRAK KE-3,Harga Planning Kontrak 4,Strategy,Keterangan
179,Stationeries,STR020,Binder Clip No.260 Joyko,Pack,,Rp 19.000,,"Rp 21,000",Rp 21.000,PRICE_UP,
180,Stationeries,STR021,Binder Refill size A5,Pack,Rp 10.000,Rp 10.000,Rp 10.000,"Rp 10,000",Rp 10.000,CARRY_FORWARD,
181,Stationeries,STR022,Book  Sidu isi 38 Sheet,Pcs,,Rp 4.000,Rp 4.200,"Rp 4,500",Rp 4.500,PRICE_UP,
182,Stationeries,STR023,Endbook steel Joyko or Equivalent,Pack,Rp 38.000,,,"Rp 21,500",Rp 21.500,PRICE_DOWN,"harga turun jauh, cek harga aktual supplier"
183,Stationeries,STR024,Binder book A5 Joyko Pastel ,Pcs,Rp 21.000,Rp 20.800,Rp 20.800,"Rp 21,500",Rp 21.500,PRICE_UP,
184,Stationeries,STR025,Agenda Book size Folio 200 Sheet,Pcs,Rp 40.000,Rp 37.000,Rp 39.000,"Rp 40,000",Rp 40.000,PRICE_UP,
185,Stationeries,STR026,No spesific brand size A5,Pcs,,,Rp 39.000,"Rp 39,000",Rp 39.000,CARRY_FORWARD,
186,Stationeries,STR027,Box File Bantex Folio 4011,Pcs,Rp 42.000,,,"Rp 43,000",Rp 43.000,PRICE_UP,
187,Stationeries,STR028,Brother TZE 231 Label Tape 12mm Black On White ORIGINAL,Pack,,,Rp 270.000,"Rp 253,000",Rp 253.000,PRICE_DOWN,"harga turun jauh, cek harga sktual supplier"
188,Stationeries,STR029,Bussiness card with lamination finishing,Pack,,,,"Rp 40,000",Rp 40.000,NEW_ITEM,
189,Stationeries,STR030,"No Spesific brand, nylon white color length 15cm",Pack,,,,"Rp 6,800",Rp 6.800,NEW_ITEM,
190,Stationeries,STR031,"No Spesific brand, nylon white color length 25cm",Pack,,,,"Rp 9,900",Rp 9.900,NEW_ITEM,
191,Stationeries,STR032,Calculator Casio DJ-120D Plus,Unit,Rp 185.000,Rp 185.000,Rp 190.000,"Rp 192,000",Rp 192.000,PRICE_UP,
192,Stationeries,STR033,Clear Sleeves Daiichi 9002 sizeFolio / F4,Pack,,,,"Rp 34,500",Rp 34.500,NEW_ITEM,
193,Stationeries,STR034,Clipboard  Joyko CLB-61,Unit,Rp 21.000,,,"Rp 21,000",Rp 21.000,CARRY_FORWARD,
194,Stationeries,STR035,Correction Fluid Joyko JK-101,Pcs,Rp 5.000,Rp 5.000,Rp 5.300,"Rp 5,800",Rp 5.800,PRICE_UP,
195,Stationeries,STR036,Correction Tape 30 M Kenko CT 3001,Pcs,Rp 15.000,Rp 15.000,,"Rp 16,000",Rp 16.000,PRICE_UP,
196,Stationeries,STR037,Cutter L500 Kenko,Pcs,,Rp 15.000,Rp 15.000,"Rp 15,500",Rp 15.500,PRICE_UP,
197,Stationeries,STR038,Refill Cutter Kenko L-150,Pack,,Rp 8.000,,"Rp 9,000",Rp 9.000,PRICE_UP,
198,Stationeries,STR039,Desk Set - Stationery Stand - Tempat Alat Tulis Joyko DS-0812,Unit,,,,"Rp 30,000",Rp 30.000,NEW_ITEM,
199,Stationeries,STR040,Clear holder Folio F4 isi 80 pocket/display book InterX,Pack,,,Rp 36.000,"Rp 36,000",Rp 36.000,CARRY_FORWARD,
200,Stationeries,STR041,DVD RW,Pcs,,,,,,NO_PRICE,
201,Stationeries,STR042,Business File Ecoflex Ukuran Folio,Pcs,,Rp 2.800,Rp 3.000,"Rp 3,500",Rp 3.500,PRICE_UP,
202,Stationeries,STR043,Brown Envelope size D / Folio,Pack,,,Rp 42.000,"Rp 42,000",Rp 42.000,CARRY_FORWARD,
203,Stationeries,STR044,Brown Envelope size E/ extra folio,Pack,,Rp 39.000,,"Rp 52,000",Rp 52.000,PRICE_UP,
204,Stationeries,STR045,White Envelope 110x230 (no spesific brand),Pack,Rp 27.000,Rp 27.000,Rp 27.000,"Rp 28,000",Rp 28.000,PRICE_UP,
205,Stationeries,STR046,White Envelope size  95x152 (no spesific brand),Pack,Rp 20.000,Rp 20.000,Rp 20.000,"Rp 20,000",Rp 20.000,CARRY_FORWARD,
206,Stationeries,STR047,"3M or equivalent Foam Tape 24mm, length 5M",Roll,,,,"Rp 9,300",Rp 9.300,NEW_ITEM,
207,Stationeries,STR048,Glue stick kenko  15 gram,Pcs,Rp 7.000,Rp 7.000,Rp 7.000,"Rp 7,400",Rp 7.400,PRICE_UP,
208,Stationeries,STR049,Suspensions File Bantex ukuran Folio,Pcs,,,,"Rp 15,000",Rp 15.000,NEW_ITEM,
209,Stationeries,STR050,Sidu A3 70 Gram,Ream,,,,"Rp 110,000",Rp 110.000,NEW_ITEM,
210,Stationeries,STR051,Sidu HVS Paper A4 80gr - Biru,Ream,,Rp 112.000,Rp 112.000,"Rp 117,000",Rp 117.000,PRICE_UP,
211,Stationeries,STR052,Sidu HVS Paper A4 80gr - Green,Ream,,Rp 112.000,Rp 112.000,"Rp 117,000",Rp 117.000,PRICE_UP,
212,Stationeries,STR053,Sidu HVS Paper A4 80gr - Red,Ream,,Rp 112.000,Rp 112.000,"Rp 117,000",Rp 117.000,PRICE_UP,
213,Stationeries,STR054,Sidu A4 70 Gram  White 80gr,Ream,,Rp 58.000,,"Rp 58,000",Rp 58.000,CARRY_FORWARD,
214,Stationeries,STR055,Sidu HVS Paper A4 80gr - White,Ream,,Rp 65.000,,"Rp 117,000",Rp 117.000,PRICE_UP,
215,Stationeries,STR056,Sidu HVS Paper A4 80gr - Yellow,Ream,,Rp 112.000,Rp 112.000,"Rp 117,000",Rp 117.000,PRICE_UP,
216,Stationeries,STR057,Sidu HVS Paper F4 70gr - Blue,Ream,Rp 92.000,Rp 80.000,Rp 82.000,"Rp 86,000",Rp 86.000,PRICE_UP,
217,Stationeries,STR058,Sidu HVS Paper F4 70gr - Green,Ream,Rp 92.000,Rp 80.000,Rp 82.000,"Rp 86,000",Rp 86.000,PRICE_UP,
218,Stationeries,STR059,Sidu HVS Paper F4 70gr - Red,Ream,Rp 92.000,Rp 80.000,Rp 82.000,"Rp 86,000",Rp 86.000,PRICE_UP,
219,Stationeries,STR060,Sidu F4 70 Gram,Ream,,,,"Rp 67,000",Rp 67.000,NEW_ITEM,
220,Stationeries,STR061,Sidu HVS Paper F4 70gr - Yellow,Ream,,,,"Rp 86,000",Rp 86.000,NEW_ITEM,
221,Stationeries,STR062,"No Brand, 80 gram",ream,,Rp 60.000,Rp 60.000,"Rp 65,000",Rp 65.000,PRICE_UP,
222,Stationeries,STR063,No Spesific brand and type,Pcs,,,,"Rp 7,000",Rp 7.000,NEW_ITEM,
223,Stationeries,STR064,No Spesific brand and type,Pcs,,,,"Rp 13,000",Rp 13.000,NEW_ITEM,
224,Stationeries,STR065,Ordner Divider size A4 10 pcs,Pair,,Rp 16.000,,"Rp 16,800",Rp 16.800,PRICE_UP,
225,Stationeries,STR066,Ordner Divider size A4 5 pcs,Pair,,Rp 12.000,,"Rp 12,700",Rp 12.700,PRICE_UP,
226,Stationeries,STR067,Index & Mark / Pembatas Joyko IM-33 / Kertas,Pack,Rp 7.000,Rp 7.000,Rp 7.200,"Rp 7,500",Rp 7.500,PRICE_UP,
227,Stationeries,STR068,Stamp Ink Trodat 7011 Black,Bottle,Rp 65.000,Rp 65.000,Rp 65.000,"Rp 68,000",Rp 68.000,PRICE_UP,
228,Stationeries,STR069,Stamp Ink Trodat 7011 Blue,Bottle,Rp 65.000,Rp 65.000,Rp 65.000,"Rp 68,000",Rp 68.000,PRICE_UP,
229,Stationeries,STR070,Stamp Ink Trodat 7011 Green,Bottle,Rp 65.000,Rp 65.000,Rp 65.000,"Rp 68,000",Rp 68.000,PRICE_UP,
230,Stationeries,STR071,Stamp Ink Trodat 7011 Red,Bottle,Rp 65.000,Rp 65.000,Rp 65.000,"Rp 68,000",Rp 68.000,PRICE_UP,
231,Stationeries,STR072,No Spesific brand and type,Pack,,,,"Rp 3,300",Rp 3.300,NEW_ITEM,
232,Stationeries,STR073,No Spesific brand and type,Pack,,,,"Rp 3,400",Rp 3.400,NEW_ITEM,
233,Stationeries,STR074,Joyko Key Ring KR-6 (6pcs/pack),Pack,,Rp 9.000,,"Rp 10,000",Rp 10.000,PRICE_UP,
234,Stationeries,STR075,No Spesific brand and type,Unit,Rp 8.000,,Rp 6.500,"Rp 6,500",Rp 6.500,CARRY_FORWARD,
235,Stationeries,STR076,Plastik Laminating Joyko A3 or Equivalent,Pack,,Rp 220.000,Rp 220.000,"Rp 220,000",Rp 220.000,CARRY_FORWARD,
236,Stationeries,STR077,Plastik Laminating Joyko F4 or Equivalent,Pack,,,Rp 120.000,"Rp 120,000",Rp 120.000,CARRY_FORWARD,
237,Stationeries,STR078,Snowman Boardmarker BG warna Hitam,Pcs,,Rp 9.500,Rp 9.500,"Rp 9,800",Rp 9.800,PRICE_UP,
238,Stationeries,STR079,Snowman Boardmarker BG warna Biru,Pcs,,Rp 9.500,Rp 9.500,"Rp 9,800",Rp 9.800,PRICE_UP,
239,Stationeries,STR080,Snowman Boardmarker BG warna Merah,Pcs,,Rp 9.500,Rp 9.500,"Rp 9,800",Rp 9.800,PRICE_UP,
240,Stationeries,STR081,Snowman Paint Marker BG warna Silver,Pcs,,,Rp 18.000,"Rp 18,000",Rp 18.000,CARRY_FORWARD,
241,Stationeries,STR082,Snowman Paint Marker BG warna Putih,Pcs,,,Rp 18.000,"Rp 18,000",Rp 18.000,CARRY_FORWARD,
242,Stationeries,STR083,Snowman G12 Permanent Marker,Pcs,,Rp 7.900,Rp 8.000,"Rp 8,800",Rp 8.800,PRICE_UP,
243,Stationeries,STR084,Permanent Paint Marker Snowman CP-12 Black,pcs,,,,"Rp 17,500",Rp 17.500,NEW_ITEM,
244,Stationeries,STR085,Bantex Ordner PVC A3 lanscape_1468,Pcs,,,,"Rp 59,800",Rp 59.800,NEW_ITEM,
245,Stationeries,STR086,Bantex Ordner PVC A4_1450V,Pcs,,,,"Rp 41,000",Rp 41.000,NEW_ITEM,
246,Stationeries,STR087,Bantex Ordner Trendy A5_1445,Pcs,,,,"Rp 42,000",Rp 42.000,NEW_ITEM,
247,Stationeries,STR088,Bantex Ordner Trendy F4_1446,Pcs,,,,"Rp 38,500",Rp 38.500,NEW_ITEM,
248,Stationeries,STR089,Trigonal Clips Kenko  No. 3,Pack,,Rp 4.300,Rp 4.300,"Rp 4,600",Rp 4.600,PRICE_UP,
249,Stationeries,STR090,Trigonal Clips Kenko No. 5,Pack,,,,"Rp 7,200",Rp 7.200,NEW_ITEM,
250,Stationeries,STR091,NCR Paper size A6,ream,,,,,,NO_PRICE,
251,Stationeries,STR092,Pensil 2B Faber-Castell,Pcs,Rp 4.500,Rp 5.000,Rp 5.400,"Rp 5,600",Rp 5.600,PRICE_UP,
252,Stationeries,STR093,Eraser dust free faber-castel,Pcs,,,,"Rp 4,300",Rp 4.300,NEW_ITEM,
253,Stationeries,STR094,"Pencil Mechanic KENKO 0,5mm",Pcs,,Rp 6.000,Rp 6.000,"Rp 7,200",Rp 7.200,PRICE_UP,
254,Stationeries,STR095,"Pencil Mechanic Refill Kenko 2B 0,05mm",Pack,Rp 4.000,Rp 4.000,Rp 3.200,"Rp 3,200",Rp 3.200,CARRY_FORWARD,
255,Stationeries,STR096,Joyko Pencil Sharpener A-5 L Assorted Color,Pcs,Rp 65.000,Rp 65.000,Rp 65.000,"Rp 69,000",Rp 69.000,PRICE_UP,
256,Stationeries,STR097,Perferator/punch kenko no.30,Unit,,,Rp 18.800,"Rp 18,800",Rp 18.800,CARRY_FORWARD,
257,Stationeries,STR098,Kenko Punch Perforator HD no.85,Pcs,Rp 66.000,Rp 66.000,,"Rp 69,000",Rp 69.000,PRICE_UP,
258,Stationeries,STR099,e-Print Glossy Photo Paper A4 210 gsm,Pack,,,,"Rp 26,000",Rp 26.000,NEW_ITEM,
259,Stationeries,STR100,Zipper Bag Map size Folio,Pack,Rp 16.000,,,"Rp 15,500",Rp 15.500,PRICE_DOWN,
260,Stationeries,STR101,Post it 76x51 mm big 5 warna tumpuk (rainbow)/ptr700028368,Pack,,,,"Rp 7,000",Rp 7.000,NEW_ITEM,
261,Stationeries,STR102,Post it 76x76 mm big 5 warna tumpuk (rainbow) #700028221,Pack,,,,"Rp 8,500",Rp 8.500,NEW_ITEM,
262,Stationeries,STR103,Pronto Post It Sign Here,Pack,,Rp 19.500,Rp 20.700,"Rp 22,400",Rp 22.400,PRICE_UP,
263,Stationeries,STR104,Kenko Color Push Pins PN-30 isi 30,Pack,Rp 5.500,Rp 5.500,Rp 5.500,"Rp 5,800",Rp 5.800,PRICE_UP,
264,Stationeries,STR105,Ruller Plastic Buterfly 30 cm,Unit,,Rp 4.000,Rp 4.000,"Rp 4,000",Rp 4.000,CARRY_FORWARD,
265,Stationeries,STR106,Scissor KENKO SC-838N,Unit,,Rp 9.800,Rp 9.800,"Rp 10,200",Rp 10.200,PRICE_UP,
266,Stationeries,STR107,Sheet Protector BIG ( 11 Ring uk. A4 ),Pack,Rp 10.000,Rp 10.000,,"Rp 11,000",Rp 11.000,PRICE_UP,
267,Stationeries,STR108,Sheet Protector BIG ( 11 Ring uk. F4 ),Pack,Rp 12.000,Rp 12.000,Rp 12.000,"Rp 12,000",Rp 12.000,CARRY_FORWARD,
268,Stationeries,STR109,Map / Sheet Protector landscape size A3,pack,Rp 187.000,Rp 187.000,Rp 187.000,"Rp 187,000",Rp 187.000,CARRY_FORWARD,
269,Stationeries,STR110,Pentel MG8 black,Pcs,,,,"Rp 50,000",Rp 50.000,NEW_ITEM,
270,Stationeries,STR111,Refill Pentel MG8 black,Pcs,,Rp 23.000,Rp 23.000,"Rp 24,000",Rp 24.000,PRICE_UP,
271,Stationeries,STR112,Stabilo Boss / Highlighter Boss,Pcs,,,,"Rp 12,500",Rp 12.500,NEW_ITEM,
272,Stationeries,STR113,Stamp Duty 10.000,pcs,,Rp 11.000,Rp 11.000,"Rp 11,000",Rp 11.000,CARRY_FORWARD,
273,Stationeries,STR114,Heavy Duty Stapler Kenko HD-12N/24,Unit,,Rp 210.000,,"Rp 220,000",Rp 220.000,PRICE_UP,
274,Stationeries,STR115,Stapler Kenko Besar HD-50,Unit,,Rp 22.000,Rp 22.800,"Rp 23,200",Rp 23.200,PRICE_UP,
275,Stationeries,STR116,Staples Kecil Kenko HD-10,Unit,,Rp 12.000,,"Rp 13,000",Rp 13.000,PRICE_UP,
276,Stationeries,STR117,Staples Refill No.10,Pack,,,,"Rp 2,900",Rp 2.900,NEW_ITEM,
277,Stationeries,STR118,Staples Refill Size 23/13-H,Pack,Rp 25.000,Rp 25.000,,"Rp 26,000",Rp 26.000,PRICE_UP,
278,Stationeries,STR119,Staples Refill No. 3 (24/6),Pack,,Rp 5.000,Rp 5.500,"Rp 6,200",Rp 6.200,PRICE_UP,
279,Stationeries,STR120,String of Raffia 1kg/Roll,Roll,,Rp 21.700,,"Rp 22,500",Rp 22.500,PRICE_UP,
280,Stationeries,STR121,Kenko Tape Dispenser TD-321,Unit,,Rp 25.000,Rp 26.500,"Rp 27,800",Rp 27.800,PRICE_UP,
281,Stationeries,STR122,Clear Tape Daimaru 1/2 inch (12 mm),Pcs,Rp 5.000,Rp 5.000,,"Rp 6,200",Rp 6.200,PRICE_UP,
282,Stationeries,STR123,Clear Tape Daimaru 1 inch (24 mm),Pcs,Rp 6.000,Rp 6.000,Rp 6.000,"Rp 7,500",Rp 7.500,PRICE_UP,
283,Stationeries,STR124,Clear Tape Daimaru 2 inch (48 mm),Pcs,,Rp 13.000,,"Rp 15,500",Rp 15.500,PRICE_UP,
284,Stationeries,STR125,Cloth Tape Blue 48mm Daimaru or equivalent,roll,Rp 20.000,Rp 20.000,Rp 20.500,"Rp 21,000",Rp 21.000,PRICE_UP,
285,Stationeries,STR126,Cloth Tape Green 48mm Daimaru or equivalent,roll,Rp 20.000,Rp 20.000,,"Rp 22,500",Rp 22.500,PRICE_UP,
286,Stationeries,STR127,Cloth Tape Red 48mm Daimaru or equivalent,roll,Rp 20.000,Rp 20.000,Rp 21.000,"Rp 21,000",Rp 21.000,CARRY_FORWARD,
287,Stationeries,STR128,Cloth Tape Yellow 48mm Daimaru or equivalent,roll,Rp 20.000,Rp 20.000,Rp 21.000,"Rp 21,000",Rp 21.000,CARRY_FORWARD,
288,Stationeries,STR129,"Cloth tape Daimaru 24mm/1""",Roll,Rp 12.000,Rp 12.000,Rp 13.000,"Rp 14,000",Rp 14.000,PRICE_UP,
289,Stationeries,STR130,"Cloth tape Daimaru 36mm/1,5""",Roll,Rp 16.000,Rp 16.000,,"Rp 18,000",Rp 18.000,PRICE_UP,
290,Stationeries,STR131,"Cloth tape Daimaru48mm/2""",Roll,,Rp 20.000,,"Rp 22,000",Rp 22.000,PRICE_UP,
291,Stationeries,STR132,Double Tape Daimaru 24mm,Roll,,Rp 7.500,,"Rp 8,200",Rp 8.200,PRICE_UP,
292,Stationeries,STR133,Double Tape Daimaru 12mm,Roll,,Rp 4.200,Rp 4.200,"Rp 4,900",Rp 4.900,PRICE_UP,
293,Stationeries,STR134,Masking Tape Daimaru 24mm x 21m White,Roll,,,Rp 11.400,"Rp 11,400",Rp 11.400,CARRY_FORWARD,
294,Stationeries,STR135,Lakban Kertas /Masking Tape Daimaru 48mm x 21m PUTIH,Roll,,,,"Rp 19,200",Rp 19.200,NEW_ITEM,
295,Stationeries,STR136,Document Tray  Joyko DT-25 3 Tier,Unit,Rp 130.000,Rp 130.000,Rp 130.000,"Rp 130,000",Rp 130.000,CARRY_FORWARD,
296,Stationeries,STR137,White board Eraser gunindo wb-803 ,Unit,Rp 9.000,Rp 9.000,Rp 9.500,"Rp 9,500",Rp 9.500,CARRY_FORWARD,
297,Stationeries,STR138,Joyko Magnet whitebord 2cm mn-208,Pack,Rp 12.000,Rp 12.000,Rp 12.500,"Rp 13,000",Rp 13.000,PRICE_UP,
298,Stationeries,STR139,Bagus Zipper Bag Plastic 17cm X 15cm,Pack,,Rp 32.500,Rp 32.500,"Rp 35,000",Rp 35.000,PRICE_UP,
299,Stationeries,STR140,Bagus Zipper Bag Plastic 18cm X 20cm,Pack,,Rp 35.000,Rp 35.000,"Rp 37,500",Rp 37.500,PRICE_UP,
300,Stationeries,STR141,Bagus Zipper Bag Plastic 18cm X 23cm,Pack,,Rp 35.000,Rp 35.000,"Rp 37,500",Rp 37.500,PRICE_UP,
301,Stationeries,STR142,Bagus Zipper Bag Plastic 25cm X 35cm,Pack,,Rp 43.000,Rp 43.000,"Rp 45,000",Rp 45.000,PRICE_UP,
302,Stationeries,STR143,Bagus Zipper Bag Plastic 27cm X 28cm,Pack,,Rp 46.000,Rp 46.000,"Rp 48,500",Rp 48.500,PRICE_UP,
303,Stationeries,STR144,Bagus Zipper Bag Plastic 33cm X 40cm,Pack,,Rp 50.000,Rp 50.000,"Rp 53,000",Rp 53.000,PRICE_UP,
304,Stationeries,STR145,"Zipper Bag Plastic, no spesific brand size 6x10 cm",Pack,,,Rp 7.000,"Rp 7,000",Rp 7.000,CARRY_FORWARD,
