No,Category,Material Number,Detail Item,UoM,Harga Kontrak 1,Harga Kontrak 2,Harga Kontrak 3,PENAWARAN SAAT KONTRAK KE-3,Harga Planning Kontrak 4,Strategy,Keterangan
40,Cutleries,CTR011,Dinner Spoon Doll or Equivalent 1 pack/6 Pcs,Set,,,,"Rp 40,000",Rp 40.000,NEW_ITEM,
41,Cutleries,CTR012,Sendok teh kayu sekali pakai panjang 11cm isi 100Pcs,Pack,Rp 9.700,,,"Rp 18,000",Rp 18.000,PRICE_UP,
42,Cutleries,CTR013,Tea Spoon Doll 1 pack/6 Pcs,Set,Rp 32.000,Rp 32.000,,"Rp 33,000",Rp 33.000,PRICE_UP,
43,Cutleries,CTR014,Plastik Wrap FOOD GRADE FDA DELKOCHOICE 20mm X 500M,Roll,,Rp 65.000,,"Rp 85,000",Rp 85.000,PRICE_UP,
44,Cutleries,CTR015,Plastik Wrap FOOD GRADE FDA DELKOCHOICE 40mm X 500M,Roll,,Rp 126.000,,"Rp 150,000",Rp 150.000,PRICE_UP,
45,Cutleries,CTR016,Plastik Wrap FOOD GRADE FDA DELKOCHOICE 60mm X 500M,Roll,,,,"Rp 300,000",Rp 300.000,NEW_ITEM,
46,Others,OTH001,Krisbow Spons Microfiber_SKU 10485228,Pcs,,,Rp 42.000,"Rp 45,000",Rp 45.000,PRICE_UP,
47,Others,OTH002,AION Plas Chamois Jumbo Original- Yellow,Pcs,,,,"Rp 125,000",Rp 125.000,NEW_ITEM,
48,Others,OTH003,Microfiber edgeless detailing - nanotech - kain lap drying towel 420g,Pcs,,Rp 36.000,Rp 36.000,"Rp 38,000",Rp 38.000,PRICE_UP,
49,Others,OTH004,"Car Tire Brush, No presific brand",Pcs,,,,"Rp 20,000",Rp 20.000,NEW_ITEM,
50,Others,OTH005,Fischer S6 ,Pack,,Rp 10.000,Rp 10.000,"Rp 12,000",Rp 12.000,PRICE_UP,
51,Others,OTH006,Takari Fish Food 500 gr 2 mm,Kg,,,,"Rp 25,000",Rp 25.000,NEW_ITEM,
52,Others,OTH007,Wasser WSD145,Pcs,,,Rp 120.000,"Rp 120,000",Rp 120.000,CARRY_FORWARD,
53,Others,OTH008,Jet Shower toilet S75 WCS Onda,Pcs,,Rp 130.000,,"Rp 135,000",Rp 135.000,PRICE_UP,
54,Others,OTH009,"Print Shift Ops Log Book (Soft Cover binding, 100 sheet, 80gr)",Set,,,,,,NO_PRICE,
55,Others,OTH010,"Screw length approx 4cm, no spesific brand",Pack,,,,"Rp 15,000",Rp 15.000,NEW_ITEM,
56,Others,OTH011,Toilet seat cover bolt Toto or Equivalent,Pair,,,,"Rp 15,000",Rp 15.000,NEW_ITEM,
57,Others,OTH012,Sink Faucet PALOMA FCP 1862,Set,,,,"Rp 475,000",Rp 475.000,NEW_ITEM,
58,Others,OTH013,Sink Faucet PALOMA FCP 1861,Set,,,,"Rp 590,000",Rp 590.000,NEW_ITEM,
59,Others,OTH014,Wall Indoor Faucet Paloma FCP 6272,pcs,,,,"Rp 340,000",Rp 340.000,NEW_ITEM,
60,Others,OTH015,Wall Outdoor Faucet Onda BC 0.5 inch,pcs,,Rp 37.000,,"Rp 42,000",Rp 42.000,PRICE_UP,
61,Others,OTH016,Wastafel Faucet Indoor TX 109 LD,Set,,,,"Rp 760,000",Rp 760.000,NEW_ITEM,
62,Others,OTH017,Diton Premium Aerosol Spray Paint 400cc,Bottle,,,,"Rp 48,000",Rp 48.000,NEW_ITEM,
63,Others,OTH018,Saniter Air & Surface Sanitizer Spray 400mL,Bottle,,,,"Rp 78,000",Rp 78.000,NEW_ITEM,
64,Others,OTH019,Print Roll Banner Albatros Size 80x200,Unit,,,,,,NO_PRICE,
65,Others,OTH020,Print Banner Flexy Korea,Meter,,,,,,NO_PRICE,
66,Others,OTH021,PR-8 Pressa Maxi Container L4,Unit,,,,"Rp 195,000",Rp 195.000,NEW_ITEM,
67,Others,OTH022,IN-8 Twin Inova Container SS5,Unit,,,Rp 820.000,"Rp 850,000",Rp 850.000,PRICE_UP,
68,Others,OTH023,VC-2 Vigo Container 32 Litres,Unit,,,Rp 185.000,"Rp 185,000",Rp 185.000,CARRY_FORWARD,
69,Others,OTH024,VC-13 Tugo Container 80 Litres,Unit,,,,"Rp 410,000",Rp 410.000,NEW_ITEM,
